Property Address,Tree Location,Property Side,Species,Diameter in Inches,Tree Number
"49 GALLATIN ST
Providence, RI
(41.796718934953, -71.41532878695537)",GALLATIN ST,Front,Ulmus spp.,3,3
"50 GALLATIN ST
Providence, RI
(41.79658255960144, -71.41538610537766)",GALLATIN ST,Front,Tilia cordata,3,1
"50 GALLATIN ST
Providence, RI
(41.79658255960144, -71.41538610537766)",GALLATIN ST,Front,Tilia cordata,3,2
"95 GALLATIN ST
Providence, RI
(41.796174718773216, -71.41712336732567)",GALLATIN ST,Front,Acer ginnala,3,1
"116 GALLATIN ST
Providence, RI
(41.79582429320716, -71.41788627549546)",GALLATIN ST,Front,Ginkgo biloba,3,1
"118 GALLATIN ST
Providence, RI
(41.795802990066925, -71.41795627152766)",GALLATIN ST,Front,Ginkgo biloba,3,1
"150 GALLATIN ST
Providence, RI
(41.795448687424546, -71.41911604997642)",GALLATIN ST,Front,Gleditsia triacanthos,3,1
"150 GALLATIN ST
Providence, RI
(41.795448687424546, -71.41911604997642)",GALLATIN ST,Front,Gleditsia triacanthos,3,2
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Ulmus parvifolia,3,1
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Ulmus parvifolia,3,3
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Ulmus parvifolia,3,4
"250 GALLATIN ST
Providence, RI
(41.7943094118652, -71.42269812108964)",GALLATIN ST,Front,Cornus mas,3,1
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Cornus mas,3,2
"265 GALLATIN ST
Providence, RI
(41.79426500696438, -71.42323249846334)",GALLATIN ST,Front,Prunus cerasifera,3,1
"85 HAMILTON ST
Providence, RI
(41.80065536628834, -71.42203364977118)",HAMILTON ST,Front,Acer campestre,3,1
"85 HAMILTON ST
Providence, RI
(41.80065536628834, -71.42203364977118)",HAMILTON ST,Front,Acer campestre,3,2
"174 HAMILTON ST
Providence, RI
(41.79790178640468, -71.42032985021253)",HAMILTON ST,Front,Gleditsia triacanthos,3,1
"218 HAMILTON ST
Providence, RI
(41.7963545956667, -71.41948992195692)",HAMILTON ST,Front,Tilia americana,3,1
"230 HAMILTON ST
Providence, RI
(41.79616772600604, -71.41939114799344)",HAMILTON ST,Front,Tilia americana,3,1
"230 HAMILTON ST
Providence, RI
(41.79616772600604, -71.41939114799344)",HAMILTON ST,Front,Ulmus parvifolia,3,2
"254 HAMILTON ST
Providence, RI
(41.79544469912971, -71.41896792469875)",HAMILTON ST,Front,Gymnocladus dioicus,3,1
"260 HAMILTON ST
Providence, RI
(41.795219621308824, -71.41883795018248)",HAMILTON ST,Front,Acer saccharum,3,1
"264 HAMILTON ST
Providence, RI
(41.795069569428236, -71.41875130050497)",HAMILTON ST,Front,Acer saccharum,3,1
"264 HAMILTON ST
Providence, RI
(41.795069569428236, -71.41875130050497)",HAMILTON ST,Front,Acer saccharum,3,2
"268 HAMILTON ST
Providence, RI
(41.79491951754764, -71.41866465082745)",HAMILTON ST,Front,Aesculus hippocastanum,3,1
"268 HAMILTON ST
Providence, RI
(41.79491951754764, -71.41866465082745)",HAMILTON ST,Front,Aesculus hippocastanum,3,2
"269 HAMILTON ST
Providence, RI
(41.794876160451835, -71.41879973431378)",HAMILTON ST,Front,Syringa reticulata,3,1
"269 HAMILTON ST
Providence, RI
(41.794876160451835, -71.41879973431378)",HAMILTON ST,Front,Syringa reticulata,3,2
"269 HAMILTON ST
Providence, RI
(41.794876160451835, -71.41879973431378)",HAMILTON ST,Front,Syringa reticulata,3,3
"276 HAMILTON ST
Providence, RI
(41.794850800657215, -71.41862739286607)",HAMILTON ST,Front,Ulmus spp.,3,1
"282 HAMILTON ST
Providence, RI
(41.794822269665836, -71.41861233484283)",HAMILTON ST,Front,Ulmus spp.,3,1
"288 HAMILTON ST
Providence, RI
(41.79479373867446, -71.41859727681961)",HAMILTON ST,Front,Acer saccharum,3,1
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,1
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,3
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,2
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,4
"30 LENOX AVE
Providence, RI
(41.79787158515356, -71.4159826210468)",LENOX AVE,Front,Malus spp,3,1
"30 LENOX AVE
Providence, RI
(41.79787158515356, -71.4159826210468)",LENOX AVE,Front,Malus spp,3,2
"32 LENOX AVE
Providence, RI
(41.79784150869269, -71.4160797305331)",LENOX AVE,Front,Prunus spp.,3,1
"41 LENOX AVE
Providence, RI
(41.79783234042424, -71.41650602000324)",LENOX AVE,Front,Platanus x acerifolia,3,1
"97 LENOX AVE
Providence, RI
(41.797192538661534, -71.41860649955423)",LENOX AVE,Front,Platanus x acerifolia,3,1
"124 LENOX AVE
Providence, RI
(41.79679407744903, -71.41948282437745)",LENOX AVE,Front,Prunus spp.,3,1
"124 LENOX AVE
Providence, RI
(41.79679407744903, -71.41948282437745)",LENOX AVE,Front,Prunus spp.,3,3
"124 LENOX AVE
Providence, RI
(41.79679407744903, -71.41948282437745)",LENOX AVE,Front,Gleditsia triacanthos,3,2
"124 LENOX AVE
Providence, RI
(41.79679407744903, -71.41948282437745)",LENOX AVE,Front,Gleditsia triacanthos,3,4
"132 LENOX AVE
Providence, RI
(41.796690323195406, -71.41981039384925)",LENOX AVE,Front,Gleditsia triacanthos,3,1
"132 LENOX AVE
Providence, RI
(41.796690323195406, -71.41981039384925)",LENOX AVE,Front,Gleditsia triacanthos,3,2
"132 LENOX AVE
Providence, RI
(41.796690323195406, -71.41981039384925)",LENOX AVE,Front,Gleditsia triacanthos,3,3
"149 LENOX AVE
Providence, RI
(41.79659690423443, -71.42049951094388)",LENOX AVE,Front,Gymnocladus dioicus,3,1
"157 LENOX AVE
Providence, RI
(41.796510339093174, -71.42078084765294)",LENOX AVE,Front,Ulmus spp.,3,1
"234 LENOX AVE
Providence, RI
(41.79557298036699, -71.4234528619214)",LENOX AVE,Front,Aesculus hippocastanum,3,1
"121 LENOX AVE
Providence, RI
(41.796917795739674, -71.41946876964751)",LENOX AVE,Front,Malus spp,3,1
"121 LENOX AVE
Providence, RI
(41.796917795739674, -71.41946876964751)",LENOX AVE,Front,Malus spp,3,2
"121 LENOX AVE
Providence, RI
(41.796917795739674, -71.41946876964751)",LENOX AVE,Front,Malus spp,3,3
"123 LENOX AVE
Providence, RI
(41.79689490051366, -71.41954062543378)",LENOX AVE,Front,Prunus cerasifera,3,1
"133 LENOX AVE
Providence, RI
(41.79677003451693, -71.41993683752575)",LENOX AVE,Front,Prunus cerasifera,3,1
"152 LONGFELLOW ST
Providence, RI
(41.79110312108762, -71.42106975859902)",LONGFELLOW ST,Front,Tilia americana,3,1
"162 LONGFELLOW ST
Providence, RI
(41.7909722911408, -71.42147633781839)",LONGFELLOW ST,Front,Tilia americana,3,1
"172 LONGFELLOW ST
Providence, RI
(41.79084146119396, -71.42188291703775)",LONGFELLOW ST,Front,Ulmus spp.,3,1
"172 LONGFELLOW ST
Providence, RI
(41.79084146119396, -71.42188291703775)",LONGFELLOW ST,Front,Ulmus spp.,3,2
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Gleditsia triacanthos,3,1
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Gleditsia triacanthos,3,2
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Gleditsia triacanthos,3,3
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Gleditsia triacanthos,3,4
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Quercus palustris,3,5
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Quercus palustris,3,6
"100 LONGFELLOW ST
Providence, RI
(41.79158260642009, -71.41956476301075)",LONGFELLOW ST,Front,Quercus palustris,3,7
"3 LONGFELLOW TER
Providence, RI
(41.79127833034019, -71.42041551482184)",LONGFELLOW TER,Front,Stump,3,1
"3 LONGFELLOW TER
Providence, RI
(41.79127833034019, -71.42041551482184)",LONGFELLOW TER,Front,Ulmus spp.,3,2
"16 MELROSE ST
Providence, RI
(41.800835485154025, -71.42413123060919)",MELROSE ST,Front,Acer campestre,3,1
"40 MELROSE ST
Providence, RI
(41.80002098312162, -71.4237057923981)",MELROSE ST,Front,Malus spp,3,1
"40 MELROSE ST
Providence, RI
(41.80002098312162, -71.4237057923981)",MELROSE ST,Front,Malus spp,3,2
"102 MELROSE ST
Providence, RI
(41.798025765692955, -71.42259514471327)",MELROSE ST,Front,Acer campestre,3,1
"118 MELROSE ST
Providence, RI
(41.797393210568345, -71.42222490217947)",MELROSE ST,Front,Tilia cordata,3,1
"134 MELROSE ST
Providence, RI
(41.79674298387053, -71.42185458304405)",MELROSE ST,Front,Acer ginnala,3,1
"143 MELROSE ST
Providence, RI
(41.79628442067991, -71.42178226029846)",MELROSE ST,Front,Tilia cordata,3,1
"144 MELROSE ST
Providence, RI
(41.7963082258934, -71.42163720405546)",MELROSE ST,Front,Malus spp,3,1
"155 MELROSE ST
Providence, RI
(41.795748282588725, -71.4214905150309)",MELROSE ST,Front,Syringa reticulata,3,1
"159 MELROSE ST
Providence, RI
(41.79555103127524, -71.42138061787054)",MELROSE ST,Front,Acer campestre,3,1
"169 MELROSE ST
Providence, RI
(41.7952918899014, -71.42123996053826)",MELROSE ST,Front,Prunus spp.,3,1
"169 MELROSE ST
Providence, RI
(41.7952918899014, -71.42123996053826)",MELROSE ST,Front,Malus spp,3,2
"169 MELROSE ST
Providence, RI
(41.7952918899014, -71.42123996053826)",MELROSE ST,Front,Malus spp,3,3
"177 MELROSE ST
Providence, RI
(41.795070558576455, -71.42112007273724)",MELROSE ST,Front,Malus spp,3,1
"211 MELROSE ST
Providence, RI
(41.79403639343392, -71.42054194521981)",MELROSE ST,Front,Syringa reticulata,3,1
"225 MELROSE ST
Providence, RI
(41.793654443190334, -71.4203375211458)",MELROSE ST,Front,Syringa reticulata,3,1
"233 MELROSE ST
Providence, RI
(41.793393781850334, -71.42019272281357)",MELROSE ST,Front,Acer ginnala,3,2
"237 MELROSE ST
Providence, RI
(41.79324584337652, -71.42011029994958)",MELROSE ST,Front,Acer ginnala,3,1
"94 MITCHELL ST
Providence, RI
(41.800501683315474, -71.42197312164753)",MITCHELL ST,Front,Acer campestre,3,1
"94 MITCHELL ST
Providence, RI
(41.800501683315474, -71.42197312164753)",MITCHELL ST,Front,Acer campestre,3,2
"117 MITCHELL ST
Providence, RI
(41.800478627832305, -71.42241757760023)",MITCHELL ST,Front,Tilia cordata,3,1
"121 MITCHELL ST
Providence, RI
(41.80045796340426, -71.42248207566352)",MITCHELL ST,Front,Tilia cordata,3,1
"136 MITCHELL ST
Providence, RI
(41.80028061300799, -71.42266312897088)",MELROSE ST,Side,Malus spp,3,1
"136 MITCHELL ST
Providence, RI
(41.80028061300799, -71.42266312897088)",MELROSE ST,Side,Malus spp,3,4
"211 MELROSE ST
Providence, RI
(41.79403639343392, -71.42054194521981)",MELROSE ST,Front,Acer palmatum,3,1
"225 MELROSE ST
Providence, RI
(41.793654443190334, -71.4203375211458)",MELROSE ST,Front,Acer palmatum,3,1
"233 MELROSE ST
Providence, RI
(41.793393781850334, -71.42019272281357)",MELROSE ST,Front,Acer ginnala,3,1
"237 MELROSE ST
Providence, RI
(41.79324584337652, -71.42011029994958)",MELROSE ST,Front,Acer ginnala,3,1
"94 MITCHELL ST
Providence, RI
(41.800501683315474, -71.42197312164753)",HAMILTON ST,Front,Acer campestre,3,1
"94 MITCHELL ST
Providence, RI
(41.800501683315474, -71.42197312164753)",HAMILTON ST,Front,Acer campestre,3,2
"117 MITCHELL ST
Providence, RI
(41.800478627832305, -71.42241757760023)",MITCHELL ST,Front,Tilia cordata,3,2
"121 MITCHELL ST
Providence, RI
(41.80045796340426, -71.42248207566352)",MITCHELL ST,Front,Tilia cordata,3,2
"136 MITCHELL ST
Providence, RI
(41.80028061300799, -71.42266312897088)",MELROSE ST,Side,Malus spp,3,2
"136 MITCHELL ST
Providence, RI
(41.80028061300799, -71.42266312897088)",MELROSE ST,Side,Malus spp,3,3
"100 NIAGARA ST
Providence, RI
(41.800511175476295, -71.41959627421838)",NIAGARA ST,Front,Ginkgo biloba,3,1
